,eurogrid_0250_1,populacja_razem,populacja_lokale,populacja_k_razem,populacja_m_razem,populacja_00_04,populacja_05_09,populacja_10_14,populacja_15_19,populacja_20_24,populacja_25_29,populacja_30_34,populacja_35_39,populacja_40_44,populacja_45_49,populacja_50_54,populacja_55_59,populacja_60_64,populacja_65_69,populacja_70_74,populacja_75_99,msw_2012_lokale,msw_2013_lokale,msw_2014_lokale,msw_2015_lokale,msw_2016_lokale,msw_2012_popul_razem,msw_2013_popul_razem,msw_2014_popul_razem,msw_2015_popul_razem,msw_2016_popul_razem,budynki_all,budynki_mieszkalne,eurogrid_0250_2,krs_razem,krs_spolki,ceidg_razem,ceidg_aktywne,ceidg_nieaktywne,ceidg_aktywne_pkd_a,ceidg_aktywne_pkd_b,ceidg_aktywne_pkd_c,ceidg_aktywne_pkd_d,ceidg_aktywne_pkd_e,ceidg_aktywne_pkd_f,ceidg_aktywne_pkd_g,ceidg_aktywne_pkd_h,ceidg_aktywne_pkd_i,ceidg_aktywne_pkd_j,ceidg_aktywne_pkd_k,ceidg_aktywne_pkd_l,ceidg_aktywne_pkd_m,ceidg_aktywne_pkd_n,ceidg_aktywne_pkd_o,ceidg_aktywne_pkd_p,ceidg_aktywne_pkd_q,ceidg_aktywne_pkd_r,ceidg_aktywne_pkd_s,ceidg_aktywne_pkd_t,ceidg_aktywne_pkd_u,ceidg_aktywne_rok_zal_2016,ceidg_aktywne_rok_zal_2015,ceidg_aktywne_rok_zal_2014,ceidg_aktywne_rok_zal_2013,ceidg_aktywne_rok_zal_2012,ceidg_aktywne_rok_zal_2011,ceidg_aktywne_rok_zal_2010,ceidg_aktywne_rok_zal_2009,ceidg_aktywne_rok_zal_2008,ceidg_aktywne_rok_zal_2007,ceidg_aktywne_rok_zal_2006,ceidg_aktywne_rok_zal_2005,ceidg_aktywne_rok_zal_2004,ceidg_aktywne_rok_zal_2003,ceidg_aktywne_rok_zal_2002,ceidg_aktywne_rok_zal_2001,ceidg_aktywne_rok_zal_2000,ceidg_aktywne_rok_zal_1999,eurogrid_0250_3,dochod_bud_pra,eurogrid_0250_4,kod_pocztowy,nazwa_miejsc,kod_miejsc,nazwa_cz_miejsc,kod_cz_miejsc,kod_gminy,kod_gminy_distr,nazwa_woj,nazwa_pow,nazwa_gmi,segment_gminy,populacja_razem_agr,populacja_lokale_agr,Dzieci_agr,Niepelnoletni_agr,Dorosli_agr,Emeryci_agr,populacja_k_razem_agr,populacja_m_razem_agr,msw_2012_popul_razem_agr,msw_2013_popul_razem_agr,msw_2014_popul_razem_agr,msw_2015_popul_razem_agr,msw_2016_popul_razem_agr,budynki_mieszkalne_agr,budynki_all_agr,ceidg_aktywne_agr,dochod_bud_pra_agr,dochod_pop_agr,grid_x,Bank_agr,Bankomat_agr,Centra Handlowe_agr,Fast Food_agr,Hazard_agr,Hotel_agr,Kociół_agr,Przedszkola i punkty przedszkolne_agr,Przystanek autobusowy_agr,Przystanek tramwajowy_agr,Restauracja_agr,Rozrywka Inne_agr,Rozrywka Sport_agr,Sklep_agr,Szkoły podstawowe_agr,Usługi Medyczne_agr,Warsztat samochodowy_agr,Wypożyczalnia Rowerów_agr,Zakład Karny_agr,grid_y,Bank,Bankomat,Centra Handlowe,Fast Food,Hazard,Hotel,Kociół,Przedszkola i punkty przedszkolne,Przystanek autobusowy,Przystanek tramwajowy,Restauracja,Rozrywka Inne,Rozrywka Sport,Sklep,Szkoły podstawowe,Usługi Medyczne,Warsztat samochodowy,Wypożyczalnia Rowerów,Zakład Karny,grid,eurogrid_0250,dist,populacja_razem_suma,populacja_lokale_suma,populacja_k_razem_suma,populacja_m_razem_suma,msw_2012_popul_razem_suma,msw_2013_popul_razem_suma,msw_2014_popul_razem_suma,msw_2015_popul_razem_suma,msw_2016_popul_razem_suma,budynki_all_suma,budynki_mieszkalne_suma,ceidg_aktywne_suma,dochod_bud_pra_suma,Bank_suma,Bankomat_suma,Centra Handlowe_suma,Fast Food_suma,Hazard_suma,Hotel_suma,Kociół_suma,Przedszkola i punkty przedszkolne_suma,Przystanek autobusowy_suma,Przystanek tramwajowy_suma,Restauracja_suma,Rozrywka Inne_suma,Rozrywka Sport_suma,Sklep_suma,Szkoły podstawowe_suma,Usługi Medyczne_suma,Warsztat samochodowy_suma,Wypożyczalnia Rowerów_suma,Zakład Karny_suma,przystanki,stosunek_dzieci
0,1kmN3032E5026_11,44,13,25,19,5,3,4,5,1,4,5,4,3,0,2,3,1,0,2,2,7,9,10,13,13,30,38,41,44,44,11,10,1kmN3032E5026_11,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1kmN3032E5026_11,5034,1kmN3032E5026_11,30-399,KRAKÓW,950463,KRAKÓW-PODGÓRZE,950960,1261011,1261049,MAŁOPOLSKIE,KRAKÓW,KRAKÓW-PODGÓRZE,A1,352,104,64,72,184,32,200,152,240,304,328,352,352,80,88,16,40272,1771968,1kmN3032E5026_11,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1kmN3032E5026_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1kmN3032E5026_11,10325.744096124517,396,117,225,171,270,342,369,396,396,99,90,18,45306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34782608695652173
1,1kmN3032E5026_12,30,10,15,15,1,0,2,2,6,3,1,1,2,5,2,3,1,0,1,0,8,8,8,8,10,34,32,31,30,30,15,10,1kmN3032E5026_12,0,0,4,3,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1kmN3032E5026_12,4703,1kmN3032E5026_12,30-399,KRAKÓW,950463,KRAKÓW-PODGÓRZE,950960,1261011,1261049,MAŁOPOLSKIE,KRAKÓW,KRAKÓW-PODGÓRZE,A1,240,80,8,32,192,8,120,120,272,256,248,240,240,80,120,24,37624,1128720,1kmN3032E5026_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1kmN3032E5026_12,10564.568765765423,270,90,135,135,306,288,279,270,270,135,90,27,42327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664
2,1kmN3032E5026_13,44,16,19,25,8,7,3,1,1,1,6,6,7,2,0,2,0,0,0,0,6,11,12,15,16,13,28,33,43,44,20,20,1kmN3032E5026_13,0,0,7,4,3,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1kmN3032E5026_13,5689,1kmN3032E5026_13,30-399,KRAKÓW,950463,KRAKÓW-PODGÓRZE,950960,1261011,1261049,MAŁOPOLSKIE,KRAKÓW,KRAKÓW-PODGÓRZE,A1,352,128,120,32,200,0,152,200,104,224,264,344,352,160,160,32,45512,2002528,1kmN3032E5026_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1kmN3032E5026_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1kmN3032E5026_13,10646.829737927184,396,144,171,225,117,252,297,387,396,180,180,36,51201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
3,1kmN3032E5026_14,71,24,38,33,10,16,7,0,0,3,2,16,13,2,2,0,0,0,0,0,7,14,19,23,24,25,44,62,68,71,26,25,1kmN3032E5026_14,0,0,5,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1kmN3032E5026_14,5737,1kmN3032E5026_14,30-399,KRAKÓW,950463,KRAKÓW-PODGÓRZE,950960,1261011,1261049,MAŁOPOLSKIE,KRAKÓW,KRAKÓW-PODGÓRZE,A1,568,192,208,56,304,0,304,264,200,352,496,544,568,200,208,24,45896,3258616,1kmN3032E5026_14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1kmN3032E5026_14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1kmN3032E5026_14,10409.90047469281,639,216,342,297,225,396,558,612,639,234,225,27,51633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6842105263157895
4,1kmN3032E5026_21,9,3,5,4,1,0,0,0,0,2,2,0,0,1,1,1,0,0,0,1,2,2,2,3,3,8,9,10,9,9,2,2,1kmN3032E5026_21,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1kmN3032E5026_21,4502,1kmN3032E5026_21,30-399,KRAKÓW,950463,KRAKÓW-PODGÓRZE,950960,1261011,1261049,MAŁOPOLSKIE,KRAKÓW,KRAKÓW-PODGÓRZE,A1,72,24,8,0,56,8,40,32,64,72,80,72,72,16,16,8,36016,324144,1kmN3032E5026_21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1kmN3032E5026_21,10803.99240079314,81,27,45,36,72,81,90,81,81,18,18,9,40518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285
8,1kmN3032E5026_31,24,8,12,12,1,1,3,4,1,1,1,1,4,4,0,0,2,1,0,0,4,7,7,8,8,16,21,21,25,24,10,9,1kmN3032E5026_31,1,1,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1kmN3032E5026_31,5292,1kmN3032E5026_31,30-399,KRAKÓW,950463,KRAKÓW-PODGÓRZE,950960,1261011,1261049,MAŁOPOLSKIE,KRAKÓW,KRAKÓW-PODGÓRZE,A1,192,64,16,56,112,8,96,96,128,168,168,200,192,72,80,8,42336,1016064,1kmN3032E5026_31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1kmN3032E5026_31,1kmN3032E5026_31,10970.117838083055,216,72,108,108,144,189,189,225,216,90,81,9,47628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285
9,1kmN3032E5026_34,29,9,17,12,1,1,3,2,4,2,0,3,2,1,3,0,3,2,0,2,9,9,9,9,9,29,29,29,29,29,10,9,1kmN3032E5026_34,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1kmN3032E5026_34,4061,1kmN3032E5026_34,30-399,KRAKÓW,950463,KRAKÓW-PODGÓRZE,950960,1261011,1261049,MAŁOPOLSKIE,KRAKÓW,KRAKÓW-PODGÓRZE,A1,232,72,16,40,144,32,136,96,232,232,232,232,232,72,80,8,32488,942152,1kmN3032E5026_34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1kmN3032E5026_34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1kmN3032E5026_34,11060.915027250647,261,81,153,108,261,261,261,261,261,90,81,9,36549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111
13,1kmN3032E5027_13,3,1,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,4,4,4,4,3,1,1,1kmN3032E5027_13,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1kmN3032E5027_13,4787,1kmN3032E5027_13,30-399,KRAKÓW,950463,KRAKÓW-PODGÓRZE,950960,1261011,1261049,MAŁOPOLSKIE,KRAKÓW,KRAKÓW-PODGÓRZE,A1,24,8,16,0,8,0,16,8,32,32,32,32,24,8,8,8,38296,114888,1kmN3032E5027_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1kmN3032E5027_13,10350.964425878414,27,9,18,9,36,36,36,36,27,9,9,9,43083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
14,1kmN3032E5027_14,35,6,19,16,3,5,2,1,0,1,5,5,2,0,1,4,3,2,0,1,6,6,6,6,6,30,31,34,35,35,8,7,1kmN3032E5027_14,0,0,3,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1kmN3032E5027_14,4823,1kmN3032E5027_14,30-399,KRAKÓW,950463,KRAKÓW-PODGÓRZE,950960,1261011,1261049,MAŁOPOLSKIE,KRAKÓW,KRAKÓW-PODGÓRZE,A1,280,48,64,24,168,24,152,128,240,248,272,280,280,56,64,8,38584,1350440,1kmN3032E5027_14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1kmN3032E5027_14,10107.069169110926,315,54,171,144,270,279,306,315,315,72,63,9,43407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38095238095238093
15,1kmN3032E5027_31,35,10,18,17,3,4,0,1,2,3,3,3,2,2,3,4,1,2,0,2,9,9,9,10,10,33,33,31,37,35,19,15,1kmN3032E5027_31,1,1,8,5,3,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1kmN3032E5027_31,4764,1kmN3032E5027_31,30-399,KRAKÓW,950463,KRAKÓW-PODGÓRZE,950960,1261011,1261049,MAŁOPOLSKIE,KRAKÓW,KRAKÓW-PODGÓRZE,A1,280,80,56,8,184,32,144,136,264,264,248,296,280,120,152,40,38112,1333920,1kmN3032E5027_31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1kmN3032E5027_31,10659.283427313316,315,90,162,153,297,297,279,333,315,171,135,45,42876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30434782608695654
